CODE_2,CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,START_DATE,END_DATE,PREV_DOC_FLAG
C90,NA,NA,NA,1567675,Multiple myeloma and malignant plasma cell neoplasms,Condition,ICD10CM,3-char nonbill code,1/1/2012,12/31/2099,TRUE
C90.0,NA,NA,NA,1567676,Multiple myeloma,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C90.00,C9000,Multiple myeloma not having achieved remission,Multiple myeloma not having achieved remission,45605329,Multiple myeloma not having achieved remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.01,C9001,Multiple myeloma in remission,Multiple myeloma in remission,45581251,Multiple myeloma in remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.02,C9002,Multiple myeloma in relapse,Multiple myeloma in relapse,45600563,Multiple myeloma in relapse,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.1,NA,NA,NA,1567677,Plasma cell leukemia,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
C90.10,C9010,Plasma cell leukemia not having achieved remission,Plasma cell leukemia not having achieved remission,45557038,Plasma cell leukemia not having achieved remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.11,C9011,Plasma cell leukemia in remission,Plasma cell leukemia in remission,45595716,Plasma cell leukemia in remission,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.12,C9012,Plasma cell leukemia in relapse,Plasma cell leukemia in relapse,45595717,Plasma cell leukemia in relapse,Condition,ICD10CM,5-char billing code,1/1/1970,12/31/2099,TRUE
C90.2,NA,NA,NA,1567678,Extramedullary plasmacytoma,Condition,ICD10CM,4-char nonbill code,1/1/2012,12/31/2099,TRUE
